Product Name,Target,Pathway
Linalool,Apoptosis; Endogenous Metabolite; iGluR,Apoptosis; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Cyclopiazonic acid,Calcium Channel,Membrane Transporter/Ion Channel; Neuronal Signaling
Isoginkgetin,Akt; Apoptosis; Autophagy; MMP; NF-κB; Proteasome,Apoptosis; Autophagy; Metabolic Enzyme/Protease; NF-κB; PI3K/Akt/mTOR
Glycocholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Nodakenin,Cholinesterase (ChE),Neuronal Signaling
Carbinoxamine maleate salt,Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling
Guanidinosuccinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Tauroursodeoxycholate (sodium),Apoptosis; Caspase; Endogenous Metabolite; ERK,Apoptosis; MAPK/ERK Pathway; Metabolic Enzyme/Protease; Stem Cell/Wnt
Sodium Salicylate,Apoptosis; Autophagy; COX; Endogenous Metabolite; NF-κB; Ribosomal S6 Kinase (RSK),Apoptosis; Autophagy; Immunology/Inflammation; MAPK/ERK Pathway; Metabolic Enzyme/Protease; NF-κB
Madecassoside,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Methyl nicotinate,Others,Others
2-Hydroxybutyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Pantothenic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Allocholic acid,Others,Others
Acetyl-L-carnitine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
N-Acetylornithine,Endogenous Metabolite,Metabolic Enzyme/Protease
"3α,12β-Dihydroxycholanoic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Tylosin (tartrate),Antibiotic; Bacterial,Anti-infection
Guaiacol,COX; Endogenous Metabolite; NF-κB,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Bicine,Others,Others
Kaempferol 3-neohesperidoside,Others,Others
4-Methylanisole,Others,Others
Obacunone,Apoptosis,Apoptosis
Potassium phosphate monobasic,Others,Others
Benzyl cinnamate,Others,Others
"cis,cis-Muconic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Sinensetin,PGE synthase; TNF Receptor,Apoptosis; Immunology/Inflammation
α-Thujone,Apoptosis; Autophagy; GABA Receptor; Parasite; Reactive Oxygen Species,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
Menthol,Calcium Channel,Membrane Transporter/Ion Channel; Neuronal Signaling
Patulin,Antibiotic; Apoptosis; Autophagy; Bacterial,Anti-infection; Apoptosis; Autophagy
Eicosapentaenoic Acid,Endogenous Metabolite; Histone Demethylase,Epigenetics; Metabolic Enzyme/Protease
Tempo,DNA/RNA Synthesis; Mitochondrial Metabolism; Reactive Oxygen Species,Cell Cycle/DNA Damage; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Phenothrin,Parasite,Anti-infection
Azulene,HIV,Anti-infection
Polydatin,Apoptosis; Autophagy; Mitophagy,Apoptosis; Autophagy
Yangonin,Autophagy; Cannabinoid Receptor; NF-κB,Autophagy; GPCR/G Protein; Neuronal Signaling; NF-κB
Methoxsalen,Cytochrome P450,Metabolic Enzyme/Protease
Isoborneol,HSV,Anti-infection
3-Methylxanthine,Endogenous Metabolite,Metabolic Enzyme/Protease
Genkwanin,Virus Protease,Anti-infection
Rotundic acid,Akt; Apoptosis; mTOR; p38 MAPK,Apoptosis; MAPK/ERK Pathway; PI3K/Akt/mTOR
Adenosine monophosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
6-Hydroxyluteolin 7-glucoside,Others,Others
Guanidine (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Hyodeoxycholic acid,Endogenous Metabolite; G protein-coupled Bile Acid Receptor 1,GPCR/G Protein; Metabolic Enzyme/Protease
Maslinic acid,Bacterial; Endogenous Metabolite; HIV; NF-κB,Anti-infection; Metabolic Enzyme/Protease; NF-κB
Digitoxin,Na+/K+ ATPase,Membrane Transporter/Ion Channel
Thymoquinone,Others,Others
Histamine (dihydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Nordihydroguaiaretic acid,Autophagy; Ferroptosis; Lipoxygenase,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Norethindrone,Bacterial; Progesterone Receptor,Anti-infection; Others
Xylitol,Autophagy; Bacterial; Endogenous Metabolite,Anti-infection; Autophagy; Metabolic Enzyme/Protease
Benzyl alcohol,Endogenous Metabolite,Metabolic Enzyme/Protease
18β-Glycyrrhetinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Chrysin,Estrogen Receptor/ERR,Others
Azelaic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Esculentoside H,JNK; NF-κB,MAPK/ERK Pathway; NF-κB
Neferine,Apoptosis; Autophagy; NF-κB,Apoptosis; Autophagy; NF-κB
"5,6-Dimethyl-1H-benzo[d]imidazole",Endogenous Metabolite,Metabolic Enzyme/Protease
(R)-Leucic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Cynaroside,Apoptosis; Bacterial; DNA/RNA Synthesis; Fungal; Influenza Virus; Parasite,Anti-infection; Apoptosis; Cell Cycle/DNA Damage
Bornyl acetate,Apoptosis,Apoptosis
Mauritianin,Topoisomerase,Cell Cycle/DNA Damage
"2,6-Dimethylhydroquinone",Endogenous Metabolite,Metabolic Enzyme/Protease
Adenosine-2'-monophosphate,Adenosine Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease
Perillyl alcohol,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Hesperidin,Apoptosis; Autophagy; Endogenous Metabolite; Reactive Oxygen Species,Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Osthole,Apoptosis; HBV; Histamine Receptor; Parasite,Anti-infection; Apoptosis; GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling
Octacosanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Guggulsterone,Akt; Apoptosis; Autophagy; Caspase; FXR; JNK,Apoptosis; Autophagy; MAPK/ERK Pathway; Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Spiraeoside,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Fexofenadine (hydrochloride),Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling
(-)-Menthol,Endogenous Metabolite; TRP Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Rutin,Amyloid-β; Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease; Neuronal Signaling
Coproporphyrin III,Endogenous Metabolite,Metabolic Enzyme/Protease
Secoisolariciresinol,Others,Others
m-Tyramine (hydrobromide),Endogenous Metabolite,Metabolic Enzyme/Protease
Arjunolic acid,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Petroselinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Gallic acid (hydrate),Apoptosis; COX; Endogenous Metabolite; Ferroptosis; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Estrone,Endogenous Metabolite; Estrogen Receptor/ERR,Metabolic Enzyme/Protease; Others
20(S)-Ginsenoside Rg3,Amyloid-β; COX; Endogenous Metabolite; NF-κB; Potassium Channel; Sodium Channel,Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
Corticosterone,Endogenous Metabolite; Glucocorticoid Receptor; iGluR,Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Rhamnocitrin,Others,Others
Ganoderic acid G,Others,Others
Olomoucine,CDK,Cell Cycle/DNA Damage
O-Desmethylangolensin,Endogenous Metabolite,Metabolic Enzyme/Protease
10-Undecenoic acid,Antibiotic; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Hydrocortisone,Endogenous Metabolite; Glucocorticoid Receptor,Immunology/Inflammation; Metabolic Enzyme/Protease
Troxerutin,NOD-like Receptor (NLR),Immunology/Inflammation
Neohesperidin dihydrochalcone,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Coniferaldehyde,Apoptosis,Apoptosis
Taurochenodeoxycholic acid,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Progesterone,Endogenous Metabolite; Progesterone Receptor,Metabolic Enzyme/Protease; Others
Hydroxy-α-sanshool,Endogenous Metabolite; TRP Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Vitamin B12,Endogenous Metabolite,Metabolic Enzyme/Protease
Glucosamine (hydrochloride),Autophagy; Endogenous Metabolite; HIF/HIF Prolyl-Hydroxylase; Reactive Oxygen Species,Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Santonin,Parasite,Anti-infection
Myricetin,Apoptosis; Autophagy; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease
(+)-Kavain,Calcium Channel; GABA Receptor; Sodium Channel,Membrane Transporter/Ion Channel; Neuronal Signaling
Tricarballylic acid,Endogenous Metabolite; Mitochondrial Metabolism,Metabolic Enzyme/Protease
Liothyronine,Endogenous Metabolite; Thyroid Hormone Receptor,Metabolic Enzyme/Protease; Others
3-Methylcatechol,Others,Others
Plicamycin,Antibiotic; Bacterial; DNA/RNA Synthesis,Anti-infection; Cell Cycle/DNA Damage
Uridine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Astragalin,Apoptosis; NF-κB,Apoptosis; NF-κB
Limonin,Apoptosis; Endogenous Metabolite; HIV,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
Tricaprilin,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Sec-butyl-3-methoxypyrazine,Others,Others
Gambogic Acid,Autophagy; Bcl-2 Family,Apoptosis; Autophagy
Licochalcone B,Amyloid-β; Apoptosis; NOD-like Receptor (NLR),Apoptosis; Immunology/Inflammation; Neuronal Signaling
Oleamide,Endogenous Metabolite,Metabolic Enzyme/Protease
m-Tolualdehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Lactitol (monohydrate),Bacterial; Others,Anti-infection; Others
Piceatannol,Apoptosis; Autophagy; Endogenous Metabolite; Syk,Apoptosis; Autophagy; Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK
7-Methylxanthine,Endogenous Metabolite,Metabolic Enzyme/Protease
Nobiletin,Apoptosis; Autophagy; Reactive Oxygen Species; ROR,Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
2'-Deoxyadenosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Neohesperidin,Others,Others
Phenylglyoxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Eugenol acetate,Bacterial; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Ganoderic acid F,Others,Others
Levulinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Taurocholic acid (sodium),Endogenous Metabolite; VEGFR,Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK
Cholesteryl linoleate,Endogenous Metabolite,Metabolic Enzyme/Protease
3'-Demethylnobiletin,Src; STAT,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt
Isoalantolactone,Apoptosis; Autophagy; Bacterial; Endogenous Metabolite,Anti-infection; Apoptosis; Autophagy; Metabolic Enzyme/Protease
Quinoline-2-carboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Angelic acid,Others,Others
(R)-(+)-Citronellal,Endogenous Metabolite,Metabolic Enzyme/Protease
Madecassic acid,COX; Interleukin Related; NO Synthase; TNF Receptor,Apoptosis; Immunology/Inflammation
Methylsticin,Others,Others
Ricinoleic acid,Others,Others
(-)-Limonene,Others,Others
Ligustrazine,Apoptosis,Apoptosis
Agnuside,Prostaglandin Receptor,GPCR/G Protein
3-O-Methylquercetin,Phosphodiesterase (PDE),Metabolic Enzyme/Protease
3-Indoleacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
(2S)-6-Prenylnaringenin,GABA Receptor,Membrane Transporter/Ion Channel; Neuronal Signaling
Kyotorphin,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
(E)-Oct-2-enoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isoferulic acid,Adrenergic Receptor; Influenza Virus,Anti-infection; GPCR/G Protein; Neuronal Signaling
2-Hydroxyoctanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"5,6-Dihydrouridine",Endogenous Metabolite,Metabolic Enzyme/Protease
Crocetin,Amyloid-β,Neuronal Signaling
D-Mannoheptulose,Others,Others
Thyroxine sulfate,Drug Metabolite; Endogenous Metabolite; Thyroid Hormone Receptor,Metabolic Enzyme/Protease; Others
Euscaphic acid,Apoptosis; DNA/RNA Synthesis; PI3K,Apoptosis; Cell Cycle/DNA Damage; PI3K/Akt/mTOR
Gramine,Adiponectin Receptor; Adrenergic Receptor; Reverse Transcriptase,Anti-infection; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Beta-Eudesmol,TRP Channel,Membrane Transporter/Ion Channel; Neuronal Signaling
[10]-Shogaol,COX,Immunology/Inflammation
(-​)​-Maackiain,Fungal,Anti-infection
N-Acetyl-L-leucine,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Methylxanthine,Endogenous Metabolite,Metabolic Enzyme/Protease
Soyasaponin Bb,Aldose Reductase,Metabolic Enzyme/Protease
Miltirone,GABA Receptor,Membrane Transporter/Ion Channel; Neuronal Signaling
1-Aminopropan-2-ol,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Hydroxy-2-butanone,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Dihydrojasmone,Others,Others
Estrone sulfate (sodium),Endogenous Metabolite; Estrogen Receptor/ERR,Metabolic Enzyme/Protease; Others
Ganoderol B,Glucosidase,Metabolic Enzyme/Protease
Ganoderenic acid A,Others,Others
Brassicin,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Ginsenoside Rh3,Keap1-Nrf2,NF-κB
Arctiin,Others,Others
Cotinine,Endogenous Metabolite,Metabolic Enzyme/Protease
Notoginsenoside R2,Apoptosis,Apoptosis
Cucurbitacin B,Apoptosis; Autophagy; Endogenous Metabolite; Integrin,Apoptosis; Autophagy; Cytoskeleton; Metabolic Enzyme/Protease
3-Epiursolic Acid,Cathepsin,Metabolic Enzyme/Protease
Diethyl phosphate,Endogenous Metabolite,Metabolic Enzyme/Protease
Auraptene,MMP,Metabolic Enzyme/Protease
Apigenin-7-glucuronide,MMP,Metabolic Enzyme/Protease
Patchouli alcohol,Bacterial,Anti-infection
Coixol,Bacterial,Anti-infection
(S)​-​(-​)​-​Citronellal,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Hydroxycoumarin,Lipoxygenase,Metabolic Enzyme/Protease
Pyruvic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Glycodeoxycholic acid (monohydrate),Endogenous Metabolite,Metabolic Enzyme/Protease
Curdione,Others,Others
NADP,Endogenous Metabolite,Metabolic Enzyme/Protease
Methyl Eugenol,Others,Others
Asparagusic acid,Endogenous Metabolite; Parasite,Anti-infection; Metabolic Enzyme/Protease
Harmalol (hydrochloride),Cytochrome P450,Metabolic Enzyme/Protease
Propyl gallate,Others,Others
2-Pentylfuran,Others,Others
3'-O-Methylguanosine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog; Orthopoxvirus,Anti-infection; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Isovitexin,JNK; NF-κB,MAPK/ERK Pathway; NF-κB
Geranylgeraniol,NF-κB,NF-κB
Fluorene,Others,Others
Gamma-glutamylcysteine,Endogenous Metabolite,Metabolic Enzyme/Protease
Squalene,Endogenous Metabolite; Fungal; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Tyramine,Endogenous Metabolite,Metabolic Enzyme/Protease
alpha-D-glucose,Endogenous Metabolite,Metabolic Enzyme/Protease
Cholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Acetyl-5-hydroxytryptamine,Endogenous Metabolite; Trk Receptor,Metabolic Enzyme/Protease; Neuronal Signaling; Protein Tyrosine Kinase/RTK
Glyoxalic acid（50% in water）,Endogenous Metabolite,Metabolic Enzyme/Protease
Ginsenoside Re,Amyloid-β; Endogenous Metabolite; JNK; NF-κB,MAPK/ERK Pathway; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
Tridecanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Furaneol,Others,Others
Dihydrofuran-3(2H)-one,Others,Others
δ-Decalactone,Others,Others
Terephthalic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Diosmin,Aryl Hydrocarbon Receptor,Immunology/Inflammation
2-Methylvaleric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
11-​Keto-​beta-​boswellic acid,Leukotriene Receptor; Lipoxygenase; NF-κB,GPCR/G Protein; Metabolic Enzyme/Protease; NF-κB
6-Biopterin,Endogenous Metabolite; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
6-Benzylaminopurine,Endogenous Metabolite; Others,Metabolic Enzyme/Protease; Others
Saccharin,Bacterial,Anti-infection
Ganoderic acid N,Others,Others
Genipin,Autophagy,Autophagy
"2,2-Dimethylsuccinic acid",Others,Others
Phlorizin,Na+/K+ ATPase; SGLT,Membrane Transporter/Ion Channel
Methyl gallate,Bacterial; HIV; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
"N2,N2-Dimethylguanosine",Endogenous Metabolite,Metabolic Enzyme/Protease
Crocin,Endogenous Metabolite,Metabolic Enzyme/Protease
Hydroxygenkwanin,Others,Others
Diethyl succinate,Others,Others
sn-Glycero-3-phosphocholine,Cholinesterase (ChE); Endogenous Metabolite,Metabolic Enzyme/Protease; Neuronal Signaling
Estrone sulfate (potassium),Endogenous Metabolite,Metabolic Enzyme/Protease
Vanillylmandelic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Allantoin,Endogenous Metabolite; Imidazoline Receptor,Metabolic Enzyme/Protease; Neuronal Signaling
5-Hydroxymethylfurfural,Fungal,Anti-infection
Rhamnose (monohydrate),Endogenous Metabolite,Metabolic Enzyme/Protease
Ginsenoside Rd,Calcium Channel; COX; Cytochrome P450; Endogenous Metabolite; NF-κB,Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
Macelignan,COX,Immunology/Inflammation
Theophylline,Adenosine Receptor; Apoptosis; Endogenous Metabolite; HDAC; Interleukin Related; Phosphodiesterase (PDE); TNF Receptor,Apoptosis; Cell Cycle/DNA Damage; Epigenetics; GPCR/G Protein; Immunology/Inflammation; Metabolic Enzyme/Protease
Sphondin,COX,Immunology/Inflammation
Choline (bitartrate),Endogenous Metabolite; mAChR,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
"3,5-Dihydroxybenzoic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Gossypol,Bcl-2 Family,Apoptosis
Paullinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Pyridoxine (hydrochloride),Endogenous Metabolite; Keap1-Nrf2,Metabolic Enzyme/Protease; NF-κB
Indole-2-carboxylic acid,Endogenous Metabolite; iGluR,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
cis-Isolimonenol,Others,Others
"2,5-Dihydroxybenzaldehyde",Bacterial,Anti-infection
Vicenin-1,Angiotensin-converting Enzyme (ACE),Metabolic Enzyme/Protease
Kaempferol,Apoptosis; Autophagy; Endogenous Metabolite; Estrogen Receptor/ERR; HIV; Mitophagy; Parasite,Anti-infection; Apoptosis; Autophagy; Metabolic Enzyme/Protease; Others
Glycitein,Apoptosis,Apoptosis
Substance P,Endogenous Metabolite; Neurokinin Receptor,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Gallic acid,Apoptosis; COX; Endogenous Metabolite; Ferroptosis; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Cryptotanshinone,Autophagy; STAT,Autophagy; JAK/STAT Signaling; Stem Cell/Wnt
Estriol,Endogenous Metabolite; Estrogen Receptor/ERR,Metabolic Enzyme/Protease; Others
Cynarin,Influenza Virus; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
L-Glyceric acid (sodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Cinnamyl Alcohol,PPAR,Cell Cycle/DNA Damage
Momordin IIc,Others,Others
D-erythro-Sphingosine,Endogenous Metabolite; Phosphatase; PKC,Epigenetics; Metabolic Enzyme/Protease; TGF-beta/Smad
Kaempferitrin,Insulin Receptor,Protein Tyrosine Kinase/RTK
Cassiaside C,Endogenous Metabolite,Metabolic Enzyme/Protease
Esculin,p38 MAPK,MAPK/ERK Pathway
Cytidine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Crocin II,COX; Endogenous Metabolite; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
Trans-Anethole,Endogenous Metabolite,Metabolic Enzyme/Protease
Phosphoribosyl pyrophosphate (pentasodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Sphingosine-1-phosphate,Endogenous Metabolite; LPL Receptor,GPCR/G Protein; Metabolic Enzyme/Protease
(-)-Epicatechin gallate,Autophagy; COX; Virus Protease,Anti-infection; Autophagy; Immunology/Inflammation
Ginkgolic acid C17:1,Phosphatase; PTEN,Metabolic Enzyme/Protease; PI3K/Akt/mTOR
"(R,R)-Secoisolariciresinol diglucoside",Others,Others
(2S)-Isoxanthohumol,Others,Others
Kahweol,AMPK; Apoptosis,Apoptosis; Epigenetics; PI3K/Akt/mTOR
Delta-Tocopherol,Endogenous Metabolite,Metabolic Enzyme/Protease
Isovitexin 2''-O-arabinoside,Others,Others
3-Acetyl-beta-boswellic acid,Others,Others
Apiin,NO Synthase,Immunology/Inflammation
Coniferyl alcohol,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Amoxicillin,Antibiotic; Bacterial,Anti-infection
Ginsenoside Rf,Calcium Channel; Endogenous Metabolite,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
γ-Terpinene,Others,Others
Theaflavin,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
Isoorientin,COX,Immunology/Inflammation
"6-(γ,γ-Dimethylallylamino)purine",Others,Others
Asperuloside,NO Synthase,Immunology/Inflammation
Doxycycline (hyclate),Antibiotic; Bacterial; MMP,Anti-infection; Metabolic Enzyme/Protease
(-)-Menthone,Others,Others
Arabinose,Endogenous Metabolite,Metabolic Enzyme/Protease
Phellopterin,Akt,PI3K/Akt/mTOR
Methyl myristate,Others,Others
8-Hydroxy-2'-deoxyguanosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Benzothiazole,Bacterial,Anti-infection
Sesamol,Apoptosis,Apoptosis
Asaraldehyde,COX,Immunology/Inflammation
Sclareol,Apoptosis,Apoptosis
Columbianadin,Apoptosis,Apoptosis
L-Ascorbic acid,Apoptosis; Calcium Channel; Endogenous Metabolite; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling; NF-κB
β-Phellandrene,Others,Others
Geranyl acetate,Apoptosis,Apoptosis
Falcarindiol,Apoptosis; Autophagy; PPAR,Apoptosis; Autophagy; Cell Cycle/DNA Damage
Veratraldehyde,Others,Others
D-Ribonolactone,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Erythrodiol,Endogenous Metabolite,Metabolic Enzyme/Protease
Pi-Methylimidazoleacetic acid (hydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
Pseudoginsenoside F11,Endogenous Metabolite,Metabolic Enzyme/Protease
Steviolbioside,Others,Others
Hexadecanal,Endogenous Metabolite,Metabolic Enzyme/Protease
Octopamine (hydrochloride),Adrenergic Receptor; Endogenous Metabolite,GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling
Cortisone,Endogenous Metabolite; Glucocorticoid Receptor,Immunology/Inflammation; Metabolic Enzyme/Protease
2-(Hydroxymethyl)anthraquinone,Others,Others
Pimpinellin,Apoptosis,Apoptosis
Angelicin,Apoptosis; Virus Protease,Anti-infection; Apoptosis
2-Tridecanone,Others,Others
(-)-α-Pinene,Bacterial; Endogenous Metabolite; GABA Receptor; Virus Protease,Anti-infection; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Methyl linoleate,Others,Others
Hyperoside,Fungal; Influenza Virus,Anti-infection
"1,3-Dimethyluracil",Endogenous Metabolite,Metabolic Enzyme/Protease
Kinetin,Others,Others
Myrcene,NF-κB,NF-κB
2'-Deoxyguanosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Gypenoside XVII,Endogenous Metabolite; Estrogen Receptor/ERR,Metabolic Enzyme/Protease; Others
Echinocystic acid,Apoptosis; Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Bergamottin,Cytochrome P450,Metabolic Enzyme/Protease
Methylnissolin,ERK; PDGFR,MAPK/ERK Pathway; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt
Malic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Methyl palmitate,Others,Others
Crustecdysone,Autophagy; Caspase; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Ginsenoside Rg6,Apoptosis; NF-κB,Apoptosis; NF-κB
4-Methoxybenzaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Isocorydine,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Undecanol,Others,Others
Tormentic acid,Others,Others
Pregnanediol,Endogenous Metabolite,Metabolic Enzyme/Protease
Apocynin,Apoptosis; Autophagy,Apoptosis; Autophagy
Methyl octanoate,Others,Others
Raspberry ketone glucoside,Others,Others
Zingerone,NF-κB,NF-κB
"D-(+)-Glucono-1,5-lactone",Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
L-Quebrachitol,Wnt; β-catenin,Stem Cell/Wnt
3-Methylbut-2-enoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Triolein,Endogenous Metabolite; MMP,Metabolic Enzyme/Protease
2-Methoxybenzaldehyde,Bacterial; Fungal,Anti-infection
L-Arabinitol,Endogenous Metabolite,Metabolic Enzyme/Protease
Asiaticoside B,Others,Others
γ-Glu-Phe,Endogenous Metabolite,Metabolic Enzyme/Protease
Esculetin,Akt; PI3K,PI3K/Akt/mTOR
Isorhoifolin,Others,Others
Pinostrobin chalcone,Others,Others
β-Elemene,Apoptosis,Apoptosis
Ginsenoside Rg1,Amyloid-β; Apoptosis; NF-κB,Apoptosis; Neuronal Signaling; NF-κB
2-Phenylpropionic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Aflatoxin B1,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Theaflavin-3-gallate,Others,Others
